club_id,club_name_clean
631,Chelsea
631,Swansea
631,Man City
631,West Brom
631,Crystal Palace
631,Everton
631,Arsenal
631,Newcastle
631,Southampton
631,Aston Villa
631,West Ham
631,Liverpool
631,Stoke City
631,Norwich
631,Tottenham
631,Bournemouth
631,Leicester
631,Sunderland
631,Watford
631,Man Utd
631,"Squad: 24,
                        Starting eleven: 23,
                        Substituted in: 0,
                        On the bench: 1,
                        Suspended: 3,
                        Injured: 10,
                        Absence: 0"
631,"Squad: 38,
                        Starting eleven: 15,
                        Substituted in: 2,
                        On the bench: 21,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 7,
                        Starting eleven: 0,
                        Substituted in: 0,
                        On the bench: 7,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 38,
                        Starting eleven: 36,
                        Substituted in: 1,
                        On the bench: 1,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 25,
                        Starting eleven: 21,
                        Substituted in: 2,
                        On the bench: 2,
                        Suspended: 0,
                        Injured: 13,
                        Absence: 0"
631,"Squad: 33,
                        Starting eleven: 21,
                        Substituted in: 2,
                        On the bench: 10,
                        Suspended: 0,
                        Injured: 1,
                        Absence: 0"
631,"Squad: 0,
                        Starting eleven: 0,
                        Substituted in: 0,
                        On the bench: 0,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 2,
                        Starting eleven: 0,
                        Substituted in: 0,
                        On the bench: 2,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 26,
                        Starting eleven: 24,
                        Substituted in: 0,
                        On the bench: 2,
                        Suspended: 3,
                        Injured: 3,
                        Absence: 0"
631,"Squad: 5,
                        Starting eleven: 2,
                        Substituted in: 0,
                        On the bench: 3,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 2,
                        Starting eleven: 0,
                        Substituted in: 1,
                        On the bench: 1,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 29,
                        Starting eleven: 11,
                        Substituted in: 4,
                        On the bench: 14,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 33,
                        Starting eleven: 33,
                        Substituted in: 0,
                        On the bench: 0,
                        Suspended: 0,
                        Injured: 3,
                        Absence: 0"
631,"Squad: 1,
                        Starting eleven: 0,
                        Substituted in: 0,
                        On the bench: 1,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 37,
                        Starting eleven: 28,
                        Substituted in: 5,
                        On the bench: 4,
                        Suspended: 0,
                        Injured: 1,
                        Absence: 0"
631,"Squad: 35,
                        Starting eleven: 19,
                        Substituted in: 6,
                        On the bench: 10,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 16,
                        Starting eleven: 7,
                        Substituted in: 5,
                        On the bench: 4,
                        Suspended: 0,
                        Injured: 2,
                        Absence: 0"
631,"Squad: 30,
                        Starting eleven: 4,
                        Substituted in: 9,
                        On the bench: 17,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 1,
                        Starting eleven: 0,
                        Substituted in: 1,
                        On the bench: 0,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 30,
                        Starting eleven: 20,
                        Substituted in: 7,
                        On the bench: 3,
                        Suspended: 0,
                        Injured: 4,
                        Absence: 0"
631,"Squad: 31,
                        Starting eleven: 25,
                        Substituted in: 6,
                        On the bench: 0,
                        Suspended: 0,
                        Injured: 7,
                        Absence: 0"
631,"Squad: 35,
                        Starting eleven: 32,
                        Substituted in: 3,
                        On the bench: 0,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 24,
                        Starting eleven: 4,
                        Substituted in: 10,
                        On the bench: 10,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 29,
                        Starting eleven: 24,
                        Substituted in: 5,
                        On the bench: 0,
                        Suspended: 0,
                        Injured: 4,
                        Absence: 0"
631,"Squad: 23,
                        Starting eleven: 4,
                        Substituted in: 6,
                        On the bench: 13,
                        Suspended: 0,
                        Injured: 1,
                        Absence: 0"
631,"Squad: 29,
                        Starting eleven: 27,
                        Substituted in: 1,
                        On the bench: 1,
                        Suspended: 6,
                        Injured: 1,
                        Absence: 0"
631,"Squad: 25,
                        Starting eleven: 3,
                        Substituted in: 10,
                        On the bench: 12,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
631,"Squad: 2,
                        Starting eleven: 0,
                        Substituted in: 2,
                        On the bench: 0,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
281,West Brom
281,Man City
281,Chelsea
281,Everton
281,Watford
281,Crystal Palace
281,West Ham
281,Tottenham
281,Newcastle
281,Bournemouth
281,Man Utd
281,Norwich
281,Aston Villa
281,Liverpool
281,Southampton
281,Stoke City
281,Swansea
281,Arsenal
281,Sunderland
281,Leicester
281,"Squad: 36,
                        Starting eleven: 35,
                        Substituted in: 0,
                        On the bench: 1,
                        Suspended: 0,
                        Injured: 2,
                        Absence: 0"
281,"Squad: 38,
                        Starting eleven: 3,
                        Substituted in: 1,
                        On the bench: 34,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
281,"Squad: 2,
                        Starting eleven: 0,
                        Substituted in: 0,
                        On the bench: 2,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
281,"Squad: 33,
                        Starting eleven: 30,
                        Substituted in: 0,
                        On the bench: 3,
                        Suspended: 0,
                        Injured: 1,
                        Absence: 0"
281,"Squad: 15,
                        Starting eleven: 13,
                        Substituted in: 1,
                        On the bench: 1,
                        Suspended: 0,
                        Injured: 23,
                        Absence: 0"
281,"Squad: 28,
                        Starting eleven: 23,
                        Substituted in: 0,
                        On the bench: 5,
                        Suspended: 0,
                        Injured: 7,
                        Absence: 0"
281,"Squad: 37,
                        Starting eleven: 10,
                        Substituted in: 10,
                        On the bench: 17,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
281,"Squad: 3,
                        Starting eleven: 0,
                        Substituted in: 0,
                        On the bench: 3,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
281,"Squad: 35,
                        Starting eleven: 25,
                        Substituted in: 4,
                        On the bench: 6,
                        Suspended: 0,
                        Injured: 0,
                        Absence: 0"
281,"Squad: 25,
                        Starting eleven: 12,
                        Substituted in: 2,
                        On the bench: 11,
                        Suspended: 0,
                        Injured: 10,
                        Absence: 0"
